區域,r平均數,r便利商店,r人口密度,平均數,便利商店,人口密度
安樂區,654,84,4494,B,A,C
信義區,627,53,4972,B,B,C
香山區,785,72,1434,B,B,C
新埔鎮,678,29,457,B,C,C
湖口鄉,607,120,1362,B,A,C
新豐鄉,670,58,1249,B,B,C
芎林鄉,772,18,489,B,C,C
苗栗市,659,93,2295,B,A,C
竹南鎮,745,86,2326,B,A,C
頭份市,704,100,1971,B,A,C
中區,725,78,20094,B,B,A
東區,630,69,8140,B,B,A
南　區,732,110,19764,B,A,A
北　區,754,179,20744,B,A,A
北屯區,760,235,4635,B,A,C
豐原區,611,130,4000,B,A,C
沙鹿區,687,82,2374,B,A,C
大雅區,613,68,2947,B,B,C
烏日區,624,61,1780,B,B,C
彰化市,670,198,3478,B,A,C
員林市,650,85,3066,B,A,C
斗六市,670,109,1153,B,A,C
虎尾鎮,687,69,1028,B,B,C
北港鎮,614,26,926,B,C,C
崙背鄉,605,12,403,B,C,C
麥寮鄉,649,26,607,B,C,C
南投市,612,74,1372,B,B,C
南　區,603,106,4487,B,A,C
安南區,608,103,1838,B,A,C
安平區,781,50,6095,B,B,A
新營區,688,43,1959,B,B,C
麻豆區,622,34,804,B,C,C
佳里區,608,38,1502,B,C,C
新市區,666,41,785,B,B,C
仁德區,627,71,1507,B,B,C
歸仁區,602,39,1219,B,C,C
永康區,700,209,5826,B,A,C
鹽埕區,643,27,16180,B,C,A
左營區,799,154,10129,B,A,A
楠梓區,658,133,7362,B,A,A
三民區,715,287,16831,B,A,A
苓雅區,761,173,20187,B,A,A
前鎮區,677,142,9561,B,A,A
小港區,609,82,3434,B,A,C
鳳山區,640,222,13377,B,A,A
仁武區,652,62,2594,B,B,C
岡山區,601,76,2001,B,B,C
橋頭區,640,27,1546,B,C,C
茂林區,622,1,10,B,C,C
東　區,735,84,3945,B,A,C
西　區,667,128,4880,B,A,C
屏東市,625,145,3010,B,A,C
朴子市,666,34,832,B,C,C
太保市,665,24,577,B,C,C
馬公市,717,53,1862,B,B,C
湖西鄉,609,5,464,B,C,C
西嶼鄉,617,4,446,B,C,C
望安鄉,621,1,393,B,C,C
七美鄉,680,1,553,B,C,C
花蓮市,643,99,3433,B,A,C
臺東市,614,89,947,B,A,C
綠島鄉,647,2,273,B,C,C
石碇區,527,5,52,C,C,C
坪林里,536,3,39,C,C,C
烏來區,570,8,20,C,C,C
鶯歌區,564,76,4172,C,B,C
瑞芳區,490,38,544,C,C,C
平溪區,495,4,61,C,C,C
雙溪區,535,2,56,C,C,C
貢寮區,490,12,115,C,C,C
金山區,504,14,424,C,C,C
萬里里,497,11,339,C,C,C
三芝區,480,12,339,C,C,C
石門區,489,3,218,C,C,C
八里區,586,49,1017,C,B,C
頭城鎮,521,23,283,C,C,C
礁溪鄉,568,30,346,C,C,C
壯圍鄉,550,9,634,C,C,C
員山鄉,555,9,286,C,C,C
五結鄉,571,28,1043,C,C,C
冬山鄉,580,23,663,C,C,C
蘇澳鎮,517,36,430,C,C,C
三星鄉,581,13,147,C,C,C
大同鄉,487,2,9,C,C,C
南澳鄉,460,3,8,C,C,C
大溪區,597,75,902,C,B,C
新屋區,547,31,577,C,C,C
觀音區,534,65,796,C,B,C
復興區,508,4,36,C,C,C
中正區,561,84,4960,C,A,C
七堵區,576,52,947,C,B,C
暖暖區,587,30,1682,C,C,C
中山區,553,42,4348,C,B,C
關西鎮,589,16,218,C,C,C
橫山鄉,547,10,186,C,C,C
北埔鄉,580,7,174,C,C,C
峨眉鄉,558,1,113,C,C,C
尖石鄉,475,2,18,C,C,C
