r區域,r平均數,r便利商店,r人口密度,區域,平均數,便利商店,人口密度
杉林區,460,3,109,S,C,B,B
甲仙區,447,4,47,S,C,B,B
茂林區,622,1,10,S,A,B,B
桃源區,504,1,5,S,C,B,B
那瑪夏區,549,1,12,S,B,B,B
東　區,735,84,3945,S,A,A,A
西　區,667,128,4880,S,A,A,A
屏東市,625,145,3010,S,A,A,A
潮州鎮,583,39,1262,S,B,A,B
東港鎮,559,31,1570,S,B,A,B
恆春鎮,534,37,220,S,B,A,B
萬丹鄉,563,20,865,S,B,B,B
長治鄉,580,14,736,S,B,B,B
麟洛鄉,589,4,654,S,B,B,B
九如鄉,533,13,517,S,B,B,B
里港鄉,550,10,373,S,B,B,B
鹽埔鄉,509,9,382,S,C,B,B
高樹鄉,485,6,260,S,C,B,B
萬巒鄉,539,8,328,S,B,B,B
內埔鄉,533,39,642,S,B,A,B
竹田鄉,528,3,561,S,C,B,B
新埤鄉,489,5,160,S,C,B,B
枋寮鄉,509,17,403,S,C,B,B
新園鄉,521,11,873,S,C,B,B
崁頂鄉,518,5,488,S,C,B,B
林邊鄉,543,8,1090,S,B,B,B
南州鄉,542,6,534,S,B,B,B
佳冬鄉,487,7,591,S,C,B,B
琉球鄉,529,3,1780,S,B,B,B
車城鄉,448,8,164,S,C,B,B
滿州鄉,456,2,52,S,C,B,B
枋山鄉,472,9,298,S,C,B,B
三地門鄉,463,1,39,S,C,B,B
霧臺鄉,476,1,12,S,C,B,B
瑪家鄉,507,1,85,S,C,B,B
泰武鄉,497,1,45,S,C,B,B
來義鄉,494,0,44,S,C,B,B
春日鄉,519,1,31,S,C,B,B
獅子鄉,509,1,16,S,C,B,B
牡丹鄉,514,1,27,S,C,B,B
朴子市,666,34,832,S,A,A,B
布袋鎮,540,15,413,S,B,B,B
大林鎮,600,24,469,S,B,B,B
民雄鄉,597,52,827,S,B,A,B
溪口鄉,526,2,416,S,C,B,B
新港鄉,597,13,465,S,B,B,B
六腳鄉,545,5,350,S,B,B,B
東石鄉,493,6,288,S,C,B,B
義竹鄉,554,3,217,S,B,B,B
